Img Name,direksiyon,serit_secim,hiz,Vites,gaz,fren,guc,el_freni
1,-0.7193260788917542,0,2.6143567311009974e-07,1,-0.0,0.0,True,False
2,-0.7193260788917542,0,2.6143567311009974e-07,1,-0.0,0.0,True,False
3,-0.7193260788917542,0,2.6143567311009974e-07,1,-0.0,0.0,True,False
4,-0.7193260788917542,0,2.6143567311009974e-07,1,-0.0,0.0,True,False
5,-0.7193260788917542,0,3.6574081718754314e-07,1,-0.0,0.0,True,False
6,-0.7193260788917542,0,3.6574081718754314e-07,1,-0.0,0.0,True,False
7,-0.7193260788917542,0,4.253598149261961e-07,1,-0.0,0.0,True,False
8,-0.7193260788917542,0,4.253598149261961e-07,1,-0.0,0.0,True,False
9,-0.7193260788917542,0,5.446144655252283e-07,1,-0.0,0.0,True,False
10,-0.7193260788917542,0,5.446144655252283e-07,1,-0.0,0.0,True,False
11,-0.7193260788917542,0,6.042466793587664e-07,1,-0.0,0.0,True,False
12,-0.7193260788917542,0,6.042466793587664e-07,1,-0.0,0.0,True,False
13,-0.7193260788917542,0,6.489722750302462e-07,1,-0.0,0.0,True,False
14,-0.7193260788917542,0,6.489722750302462e-07,1,-0.0,0.0,True,False
15,-0.7193260788917542,0,7.457539368260768e-07,1,-0.0,0.0,True,False
16,-0.7193260788917542,0,7.457539368260768e-07,1,-0.0,0.0,True,False
17,-0.7193260788917542,0,7.457539368260768e-07,1,-0.0,0.0,True,False
18,-0.7193260788917542,0,7.457539368260768e-07,1,-0.0,0.0,True,False
19,-0.7193260788917542,0,8.499241630488541e-07,1,-0.0,0.0,True,False
20,-0.7193260788917542,0,8.499241630488541e-07,1,-0.0,0.0,True,False
21,-0.7193260788917542,0,9.392424544785172e-07,1,-0.0,0.0,True,False
22,-0.7193260788917542,0,9.392424544785172e-07,1,-0.0,0.0,True,False
23,-0.7193260788917542,0,9.839093308983138e-07,1,-0.0,0.0,True,False
24,-0.7193260788917542,0,9.839093308983138e-07,1,-0.0,0.0,True,False
25,-0.7193260788917542,0,1.1030404039047426e-06,1,-0.0,0.0,True,False
26,-0.7193260788917542,0,1.1030404039047426e-06,1,-0.0,0.0,True,False
27,-0.7193260788917542,0,1.1030404039047426e-06,1,-0.0,0.0,True,False
28,-0.7193260788917542,0,1.1030404039047426e-06,1,-0.0,0.0,True,False
29,-0.7193260788917542,0,1.2370882132017869e-06,1,-0.0,0.0,True,False
30,-0.7193260788917542,0,1.2370882132017869e-06,1,-0.0,0.0,True,False
31,-0.7193260788917542,0,1.281775325878698e-06,1,-0.0,0.0,True,False
32,-0.7193260788917542,0,1.281775325878698e-06,1,-0.0,0.0,True,False
33,-0.7193260788917542,0,1.3413612123258645e-06,1,-0.0,0.0,True,False
34,-0.7193260788917542,0,1.3413612123258645e-06,1,-0.0,0.0,True,False
35,-0.7193260788917542,0,1.3413612123258645e-06,1,-0.0,0.0,True,False
36,-0.7193260788917542,0,1.3413612123258645e-06,1,-0.0,0.0,True,False
37,-0.7193260788917542,0,1.4456434200837975e-06,1,-0.0,0.0,True,False
38,-0.7193260788917542,0,1.4456434200837975e-06,1,-0.0,0.0,True,False
39,-0.7193260788917542,0,1.4456434200837975e-06,1,-0.0,0.0,True,False
40,-0.7193260788917542,0,1.4456434200837975e-06,1,-0.0,0.0,True,False
41,-0.7193260788917542,0,1.1850714827232878e-06,1,-0.0,0.0,True,False
42,-0.7193260788917542,0,1.1850714827232878e-06,1,-0.0,0.0,True,False
43,-0.7193260788917542,0,1.1402569271012908e-06,1,-0.0,0.0,True,False
44,-0.7193260788917542,0,1.1402569271012908e-06,1,-0.0,0.0,True,False
45,-0.7193260788917542,0,1.0806826367115718e-06,1,-0.0,0.0,True,False
46,-0.7193260788917542,0,1.0806826367115718e-06,1,-0.0,0.0,True,False
47,-0.7193260788917542,0,1.036007688526297e-06,1,-0.0,0.0,True,False
48,-0.7193260788917542,0,1.036007688526297e-06,1,-0.0,0.0,True,False
49,-0.7193260788917542,0,9.317881790593674e-07,1,-0.0,0.0,True,False
50,-0.7193260788917542,0,9.317881790593674e-07,1,-0.0,0.0,True,False
51,-0.7193260788917542,0,9.317881790593674e-07,1,-0.0,0.0,True,False
52,-0.7193260788917542,0,9.317881790593674e-07,1,-0.0,0.0,True,False
53,-0.7193260788917542,0,8.424890438618604e-07,1,-0.0,0.0,True,False
54,-0.7193260788917542,0,8.424890438618604e-07,1,-0.0,0.0,True,False
55,-0.7193260788917542,0,5.520334411812655e-07,1,-0.0,0.0,True,False
56,-0.7193260788917542,0,5.520334411812655e-07,1,-0.0,0.0,True,False
57,-0.7193260788917542,0,5.071657369626337e-07,1,-0.0,0.0,True,False
58,-0.7193260788917542,0,5.071657369626337e-07,1,-0.0,0.0,True,False
59,-0.7193260788917542,0,4.475989783259138e-07,1,-0.0,0.0,True,False
60,-0.7193260788917542,0,4.475989783259138e-07,1,-0.0,0.0,True,False
61,-0.7193260788917542,0,3.5828259115078254e-07,1,-0.0,0.0,True,False
62,-0.7193260788917542,0,3.5828259115078254e-07,1,-0.0,0.0,True,False
63,-0.7193260788917542,0,2.541804349220911e-07,1,-0.0,0.0,True,False
64,-0.7193260788917542,0,2.541804349220911e-07,1,-0.0,0.0,True,False
65,-0.7193260788917542,0,1.948048549138548e-07,1,-0.0,0.0,True,False
66,-0.7193260788917542,0,1.948048549138548e-07,1,-0.0,0.0,True,False
67,-0.7193260788917542,0,1.948048549138548e-07,1,-0.0,0.0,True,False
68,-0.7193260788917542,0,1.948048549138548e-07,1,-0.0,0.0,True,False
69,-0.7193260788917542,0,6.291787713053054e-08,1,-0.0,0.0,True,False
70,-0.7193260788917542,0,6.291787713053054e-08,1,-0.0,0.0,True,False
71,-0.7193260788917542,0,6.291787713053054e-08,1,-0.0,0.0,True,False
72,-0.7193260788917542,0,6.291787713053054e-08,1,-0.0,0.0,True,False
73,-0.7193260788917542,0,6.291092091714745e-08,1,-0.0,0.0,True,False
74,-0.7193260788917542,0,6.291092091714745e-08,1,-0.0,0.0,True,False
75,-0.7193260788917542,0,1.5039219647405844e-07,1,-0.0,0.0,True,False
76,-0.7193260788917542,0,1.5039219647405844e-07,1,-0.0,0.0,True,False
